variable,name,value,year,month,Model
CST,cst_180_549,-0.00205681730388851,1994,10,GLORYS
CST,cst_90_180,-0.00131266110854887,1994,11,GLORYS
CST,cst_0_180,0.00219916485841486,1994,11,GLORYS
CST,cst_0_90,0.00570819079926254,1994,11,GLORYS
CST,cst_30_130,0.0037040325247034,1994,11,GLORYS
CST,cst_180_549,-0.00636911377228775,1994,11,GLORYS
CST,cst_90_180,-0.00145846640543546,1994,12,GLORYS
CST,cst_0_180,0.000627624348217119,1994,12,GLORYS
CST,cst_0_90,0.00254465158900484,1994,12,GLORYS
CST,cst_30_130,0.00224128629333319,1994,12,GLORYS
CST,cst_180_549,-0.00350807441362359,1994,12,GLORYS
CST,cst_90_180,-0.00276809564580711,1995,1,GLORYS
CST,cst_0_180,-0.00707613390752736,1995,1,GLORYS
CST,cst_0_90,-0.011471744908484,1995,1,GLORYS
CST,cst_30_130,-0.00649571766203766,1995,1,GLORYS
CST,cst_180_549,0.0150075921657675,1995,1,GLORYS
CST,cst_90_180,0.0107880760355186,1995,2,GLORYS
CST,cst_0_180,0.0109465414539323,1995,2,GLORYS
CST,cst_0_90,0.0109110368449671,1995,2,GLORYS
CST,cst_30_130,0.0111691872497203,1995,2,GLORYS
CST,cst_180_549,0.0199835317843723,1995,2,GLORYS
CST,cst_90_180,0.0210951186222823,1995,3,GLORYS
CST,cst_0_180,0.0191992299382892,1995,3,GLORYS
CST,cst_0_90,0.0170442749916561,1995,3,GLORYS
CST,cst_30_130,0.0197506898029532,1995,3,GLORYS
CST,cst_180_549,0.0309302177759039,1995,3,GLORYS
CST,cst_90_180,0.0236659361182849,1995,4,GLORYS
CST,cst_0_180,0.0266795106701322,1995,4,GLORYS
CST,cst_0_90,0.0293228405437845,1995,4,GLORYS
CST,cst_30_130,0.0274751947685989,1995,4,GLORYS
CST,cst_180_549,0.0340481380831707,1995,4,GLORYS
CST,cst_90_180,0.00734635440560786,1995,5,GLORYS
CST,cst_0_180,0.0141538520292787,1995,5,GLORYS
CST,cst_0_90,0.020681768096103,1995,5,GLORYS
CST,cst_30_130,0.0160693300351349,1995,5,GLORYS
CST,cst_180_549,0.00033924076519228,1995,5,GLORYS
CST,cst_90_180,0.00691458881473294,1995,6,GLORYS
CST,cst_0_180,0.0140083798361889,1995,6,GLORYS
CST,cst_0_90,0.0209543946187171,1995,6,GLORYS
CST,cst_30_130,0.0152662685982194,1995,6,GLORYS
CST,cst_180_549,-0.00713521888715416,1995,6,GLORYS
CST,cst_90_180,-0.00488613119197904,1995,7,GLORYS
CST,cst_0_180,0.00428626378020227,1995,7,GLORYS
CST,cst_0_90,0.0131816194429843,1995,7,GLORYS
CST,cst_30_130,0.00618563916679533,1995,7,GLORYS
CST,cst_180_549,-0.026952805850993,1995,7,GLORYS
CST,cst_90_180,-0.000145805296886584,1995,8,GLORYS
CST,cst_0_180,0.0070840549786473,1995,8,GLORYS
CST,cst_0_90,0.0140460014436331,1995,8,GLORYS
CST,cst_30_130,0.00976429188963502,1995,8,GLORYS
CST,cst_180_549,-0.0174061459868661,1995,8,GLORYS
CST,cst_90_180,0.000447269462235735,1995,9,GLORYS
CST,cst_0_180,0.00509187115254066,1995,9,GLORYS
CST,cst_0_90,0.00968569430606257,1995,9,GLORYS
CST,cst_30_130,0.00617612422086032,1995,9,GLORYS
CST,cst_180_549,-0.008211659421115,1995,9,GLORYS
CST,cst_90_180,0.00250163577668593,1995,10,GLORYS
