year,month,MLD_90_180,MLD_0_180,MLD_0_90,MLD_30_130,MLD_180_550,T_90_180,T_0_180,T_0_90,T_30_130,T_180_550,XV_90_180,XV_0_180,XV_0_90,XV_30_130,XV_180_550,YV_90_180,YV_0_180,YV_0_90,YV_30_130,YV_180_550
1998,6,6.199907,5.9995117,5.7773347,5.9611173,6.8227925,9.711834,9.8466625,10.098318,9.929755,9.25508,-0.001758387,-0.0012885,-0.00027135745,-0.002220319,-0.00044707395,-0.09668487,-0.08736502,-0.067190774,-0.08102985,-0.08316601
1998,7,5.7416058,5.6030827,5.449502,5.5605693,6.4298415,9.384397,9.513831,9.755421,9.577726,9.158909,-0.011634562,-0.009350888,-0.0044075134,-0.009782817,0.00013357581,-0.06952319,-0.06125332,-0.043351874,-0.056749027,-0.045005735
1998,8,6.2708726,5.959986,5.615308,5.8936214,7.2734737,9.356738,9.389367,9.4502535,9.383043,9.431459,-0.008853099,-0.009772427,-0.011762457,-0.011144677,-0.00016587542,-0.06300288,-0.05622461,-0.041551974,-0.04964947,-0.04277591
1998,9,7.010006,6.5020967,5.93898,6.319092,8.163918,9.303419,9.327485,9.372401,9.334766,9.402848,-0.015333255,-0.015408713,-0.015572068,-0.013747857,0.0017788647,-0.047502175,-0.0408612,-0.026485765,-0.03447202,-0.041782193
1998,10,8.334342,7.758366,7.1197853,7.5060606,11.1491585,9.952397,10.143593,10.500453,10.235522,9.524031,-0.0023143492,-0.005139771,-0.0112558445,-0.005807334,0.0025465856,0.0026144276,0.009651321,0.024883794,0.016011158,-0.0060209148
1998,11,15.679405,13.446242,10.970345,12.424878,20.739288,10.735613,10.924568,11.2772455,11.075624,9.756254,0.0042568706,0.0032507617,0.0010728742,0.0043688943,0.00093941885,0.10356381,0.107184164,0.11502088,0.10754744,0.08274061
1998,12,14.380961,12.604218,10.634351,11.925986,20.224396,10.487371,10.533619,10.619942,10.629082,9.566154,-0.0043141632,-0.001602433,0.0042675366,0.0009223627,-0.004198554,0.03794496,0.03434211,0.026543178,0.02836214,0.03734771
1999,1,11.937894,10.468139,8.838629,9.872829,15.642597,9.58454,9.606273,9.646842,9.671183,9.013134,0.0014608366,0.001176244,0.000560196,0.0022031553,-0.002868308,0.049560275,0.049923852,0.05071089,0.04935098,0.048122387
1999,2,15.313637,12.6835785,9.767645,11.352078,28.715733,9.111457,9.075625,9.008747,9.088733,8.76605,0.0022253778,0.0024476775,0.002928867,0.00408892,0.001928133,0.11509183,0.109797776,0.098337926,0.10363358,0.10127151
1999,3,9.821046,8.948061,7.980185,8.466061,15.301851,8.994947,8.988688,8.977005,9.013527,8.63587,-0.0014158392,-0.0010703873,-0.000322607,-0.002123327,0.00087072176,0.025616717,0.029529003,0.037997767,0.030669536,0.022220979
1999,4,8.399625,7.9608603,7.474403,7.9098024,8.892308,8.723516,8.783834,8.896417,8.836529,8.34731,-0.00325652,-0.0030407177,-0.0025735798,-0.0046778335,-0.00017573216,-0.09720265,-0.08584807,-0.061269343,-0.07974488,-0.09308358
1999,5,6.872853,6.609352,6.317209,6.615641,7.3767962,8.521804,8.640937,8.863292,8.712421,8.175759,-0.0054523745,-0.0032481442,0.0015232604,-0.002904866,-0.0025513011,-0.12590027,-0.11224455,-0.08268453,-0.10518596,-0.10654694
1999,6,5.708964,5.6516705,5.5881505,5.6392384,6.2026715,8.498362,8.65016,8.933477,8.727905,8.281351,-0.00808377,-0.005632552,-0.00032650618,-0.0049163126,0.007215657,-0.10187251,-0.09632154,-0.08430573,-0.09694271,-0.0832923
1999,7,5.91097,5.724354,5.517453,5.684115,6.2109404,8.342911,8.441239,8.624765,8.493845,8.314668,-0.010326561,-0.0071051326,-0.00013184293,-0.0060654776,0.0013953997,-0.08151291,-0.07774022,-0.06957365,-0.08012828,-0.06693585
1999,8,5.3995767,5.3230867,5.2382827,5.308528,5.5849624,8.750509,8.837099,8.998718,8.872899,8.717961,-0.0001906807,-0.0010669974,-0.0029639215,-0.0035036393,-0.0018585041,-0.055498313,-0.05007143,-0.03832412,-0.0456772,-0.04380834
1999,9,6.9892397,6.5703955,6.106025,6.437106,7.524844,8.443752,8.453803,8.472567,8.4660425,8.6142,-0.0070669777,-0.0063223997,-0.004710645,-0.004049018,-0.0005247265,-0.07061207,-0.062799215,-0.045887023,-0.05688743,-0.061959647
1999,10,8.676526,8.089591,7.438858,7.9100876,10.031632,8.588574,8.662884,8.801582,8.713296,8.618361,-0.005583749,-0.0047279825,-0.0028755425,-0.0038881549,0.005022908,-0.014010696,-0.0074767494,0.006667012,-0.0037627933,-0.019782146
1999,11,14.710064,13.069248,11.250084,12.3683605,18.192362,10.102906,10.244255,10.508075,10.385926,9.231547,0.0043762904,0.0029368442,-0.00017905995,0.004351977,-0.0011461155,0.09974716,0.099492036,0.09893985,0.09931492,0.078426085
1999,12,12.296411,10.722523,8.977562,9.963433,18.215466,10.244907,10.334297,10.501151,10.454659,9.26661,-0.005266462,-0.0026410697,0.0030420115,0.000521294,-0.00041372902,0.032367185,0.026782569,0.014693781,0.019849684,0.022072595
2000,1,12.55927,11.083725,9.447795,10.506327,17.52801,9.458544,9.477919,9.514089,9.543358,8.812347,0.0019679312,0.0021826108,0.0026473212,0.0037671993,-0.0005959992,0.04917423,0.046381578,0.040336426,0.04225892,0.049643487
2000,2,10.262232,9.109202,7.830843,8.529087,14.545044,9.534538,9.486391,9.396526,9.50819,8.984891,-0.002095549,-0.0017525404,-0.0010100448,0.0002980386,-0.002426639,0.090773284,0.083175145,0.0667277,0.07602978,0.09061415
2000,3,9.518481,8.689471,7.7703514,8.338562,13.352761,9.425737,9.427241,9.43004,9.459794,8.854478,-0.0029304468,-0.0019290148,0.00023874655,-0.0006575075,-0.0010671817,-0.035063453,-0.033797175,-0.03105612,-0.036406755,-0.027441353
2000,4,7.481482,7.192412,6.8719206,7.1721635,7.9464903,9.178468,9.298336,9.52206,9.385754,8.638693,-0.000398431,0.0006400566,0.0028880266,0.0010808165,-0.001484266,-0.049660627,-0.040913466,-0.021978796,-0.03653755,-0.050336104
2000,5,6.505644,6.3082204,6.0893373,6.2711177,7.2528634,9.478425,9.693449,10.094784,9.831962,8.790448,-0.0022653195,-0.0013643266,0.00058601546,-0.001632652,0.0019233647,-0.07035784,-0.063446835,-0.048486885,-0.060395304,-0.061088607
2000,6,6.4983735,6.2447467,5.9635515,6.216671,7.357167,8.9460535,9.127993,9.467573,9.217909,8.606378,-0.004179502,-0.0021952526,0.0020999708,-0.001505119,-0.0034815841,-0.09165634,-0.08306485,-0.064467184,-0.07628935,-0.08487999
2000,7,5.7650166,5.6070065,5.431822,5.577153,6.4680605,8.526422,8.606193,8.755084,8.656779,8.520248,-0.010519725,-0.0069534048,0.00076646666,-0.0026330801,0.00078639213,-0.075932875,-0.07054015,-0.05886681,-0.07023311,-0.07001716
2000,8,6.0386934,5.800204,5.535791,5.7448707,6.7889104,8.462576,8.522285,8.633741,8.54186,8.462968,-0.014149786,-0.012023268,-0.0074200863,-0.0127238,0.0025509605,-0.06902374,-0.0665274,-0.061123647,-0.069242895,-0.060050584
2000,9,6.103535,5.878237,5.628449,5.80938,6.775496,8.657948,8.8061905,9.082881,8.867023,8.571202,-0.011486879,-0.010123089,-0.007170948,-0.012964695,0.0010478824,-0.026687386,-0.026429147,-0.025870174,-0.032441325,-0.019917112
2000,10,8.231168,7.715166,7.1430755,7.5004783,10.419642,8.973071,9.160554,9.510492,9.208505,8.827064,-0.0036596262,-0.0043320777,-0.0057877037,-0.0068777893,-0.001101652,0.00058762904,0.0033969027,0.009478023,0.009434926,-0.0029587662
2000,11,10.436199,10.264091,10.073276,10.324643,11.730126,9.236906,9.390378,9.67683,9.49082,8.719594,0.0034996117,0.0030540503,0.002089561,0.0042056204,-0.004097521,0.02354009,0.025217826,0.028849555,0.029812967,0.020675754
2000,12,13.898352,12.780805,11.541785,12.361478,15.755565,9.23851,9.278143,9.352127,9.354585,8.714073,0.004742338,0.0049790824,0.0054915575,0.007112064,-0.00058661686,0.04201221,0.038683143,0.03147682,0.03334652,0.036515474
2001,1,20.892895,18.47923,15.803216,17.076475,24.80241,9.300193,9.274495,9.226537,9.306682,8.844607,-0.0010295865,-0.0007028428,4.446941e-06,0.0016629525,0.0007191633,0.059238154,0.05411858,0.043036465,0.04871013,0.06151752
2001,2,22.330427,19.432035,16.2186,18.206625,26.795143,9.102616,9.059173,8.978091,9.077973,8.686159,-0.0019351465,-0.001407941,-0.00026672092,-0.00040810357,0.00063732837,0.02370365,0.021265108,0.015986508,0.017741762,0.017482638
2001,3,16.325953,14.458564,12.3882,13.771973,21.333971,9.094651,9.1074705,9.131398,9.144475,8.698053,-0.00097155094,-0.00070890447,-0.0001403641,-0.00039965133,0.0014775309,-0.022232205,-0.020991996,-0.01830736,-0.022494808,-0.010275162
2001,4,9.035112,8.429674,7.758429,8.311784,9.624557,9.020343,9.109489,9.275879,9.171415,8.543025,0.0021260965,0.0014814418,8.5983665e-05,0.00093215937,0.0019550244,-0.061016113,-0.052381698,-0.03369113,-0.04774643,-0.07012116
2001,5,7.4954653,7.059661,6.5764885,7.00984,8.412196,8.913928,9.052101,9.309991,9.129978,8.512762,-0.004136982,-0.0030343586,-0.00064756157,-0.0035173574,-0.003616795,-0.08367111,-0.07542539,-0.05757623,-0.070766315,-0.08035317
